id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
cs,Dr. Constanze Stelzenmüller,,Jura,USA
500,Folge 500,na,na,na
SPD,SPD,na,na,na
DL,Die Linke,na,na,na
CDU,CDU,na,na,na
ft,Frans Timmermans,na,Politik,Niederlande
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland
am,Andrij Melnik,na,Politik,Ukraine
er,Egon Ramms,na,Militär,Deutschland
502,Folge 502,na,na,na
FDP,FDP,na,na,na
DG,Die Grünen,na,na,na
kp,Katja Petrowskaja,na,Journalistik,Deutschland
rh,Robert Habeck,Die Grünen,Politik,Deutschland
cm,Claudia Major,na,Wissenschaft,Deutschland
rk,Roderich Kiesewetter,CDU,Politik ,Deutschland
503,Folge 503,na,na,na
cl,Christian Lindner,FDP,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland 
ks,Karl Schlögel,na,Geographie,na
lm,Ljudmyla Melnyk,na,Wissenschaft,Ukraine
kd,Kristina Dunz,na,Journalistik,Deutschland
el,Egils Levits,na,Politik,Lettland
501,Folge 501,na,na,na
